ID,TERRITORY1,ISO_TER1,SOVEREIGN1,ISO_SOV1,centroid_X_moll,centroid_Y_moll,coast_length_km_azim,mean_PAR,mean_tide,mean_sst,mean_T2m,mean_Tp,mang_presence,salt_presence,seag_presence,mang_area_ha,salt_area_ha,seag_area_ha,mang_loss_rate,seag_change_rate,mang_fish_dens,mang_invert_dens,mang_spec_prop,mang_spec_score,salt_spec_prop,salt_spec_score,seag_spec_prop,seag_spec_score,mang_frag_area_mn_rate,mang_frag_area_mn,mang_mean_age,mang_mean_agb_mg_ha,mang_mean_SOC,mang_mean_height_m,pressure_seagrass_climate_current,pressure_seagrass_land_current,pressure_seagrass_marine_current,pressure_seagrass_climate_rate,pressure_seagrass_land_rate,pressure_seagrass_marine_rate,pressure_mangrove_climate_current,pressure_mangrove_land_current,pressure_mangrove_marine_current,pressure_mangrove_climate_rate,pressure_mangrove_land_rate,pressure_mangrove_marine_rate,pressure_saltmarsh_climate_current,pressure_saltmarsh_land_current,pressure_saltmarsh_marine_current,pressure_saltmarsh_climate_rate,pressure_saltmarsh_land_rate,pressure_saltmarsh_marine_rate
52753,Sweden,SWE,Sweden,SWE,863324.0166,6535922.188,376557.2119,25.12257191,30.17309438,10.21001345,282.8379596,0.002868335,0,1,1,0.0,1.621402141,304.325632079074,nan,nan,nan,nan,nan,nan,0.037037037037037,0.940740740740741,0.06,0.96,nan,nan,nan,nan,nan,nan,1.25126588344574,2.44344361623128,0.230189524590969,0.0134275794720603,-0.0026975480118226,0.0587466727894962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52755,Sweden,SWE,Sweden,SWE,1001455.859,6535922.188,375399.3351,22.44006307,9.895198799,9.993208359,281.8051952,0.00225763,0,1,0,0.0,56.94097355,0.0,nan,nan,nan,nan,nan,nan,0.037037037037037,0.933333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.854265123605728,1.2346271276474,0.0092295547947287,0.0035152640949284,0.0041994252260902,0.197010197856522
52756,Sweden,SWE,Sweden,SWE,1070521.781,6535922.188,375590.8555,24.46096967,8.870760047,9.823762054,281.8617948,0.001976886,0,1,0,0.0,351.9588554,0.0,nan,nan,nan,nan,nan,nan,0.04,0.928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.807750552892685,0.825936675071716,0.190246403217316,-0.0034728231909324,-0.0068949621396275,0.0901564512503617
52757,Sweden,SWE,Sweden,SWE,1139587.702,6535922.188,375988.7922,25.09572465,7.828250045,9.65431575,282.4386365,0.001735094,0,1,0,0.0,566.7993538,0.0,nan,nan,nan,nan,nan,nan,0.04,0.928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.931305214762688,1.25947850942612,0.0917716072872281,0.0096542094047921,-0.0066337744129417,0.16684337297575
53109,Denmark,DNK,Denmark,DNK,577116.0951,6634462.417,750.7648359,23.79855809,42.71420615,10.82488469,282.9266485,0.003546056,0,1,1,0.0,30.84685978,104.707622587575,nan,nan,nan,nan,nan,nan,0.0357142857142857,0.935714285714286,0.0793650793650794,0.945161290322581,nan,nan,nan,nan,nan,nan,1.07109463214874,1.40295243263245,0.0410358794033527,0.0020949598452712,0.0045872605897915,-0.157498869003807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53110,Denmark,DNK,Denmark,DNK,645012.1062,6634462.417,376828.2781,23.74066385,49.52847112,10.63680029,282.7731839,0.003284294,0,1,1,0.0,3629.362317,2900.9003443746,nan,0.038757559547161,nan,nan,nan,nan,0.0357142857142857,0.935714285714286,0.0819672131147541,0.943333333333333,nan,nan,nan,nan,nan,nan,1.16044890179354,0.716431729933795,0.0259442795068026,0.0109823781380098,0.0151659019508502,-0.182164887353376,nan,nan,nan,nan,nan,nan,1.02823786619233,0.53354196286783,0.242857560151961,-0.003124704853698,0.0025364568760126,0.0633665634472957
53111,Denmark,DNK,Denmark,DNK,712908.1174,6634462.417,376096.5229,23.91347922,52.30758802,10.44871589,282.8270806,0.002796823,0,1,1,0.0,1516.919444,1817.78071589665,nan,nan,nan,nan,nan,nan,0.0357142857142857,0.935714285714286,0.087719298245614,0.939285714285714,nan,nan,nan,nan,nan,nan,1.15706435839335,0.74218468722843,0.0251773191349847,0.0108461702645528,0.0153503680150519,-0.183403963833999,nan,nan,nan,nan,nan,nan,1.11759395826431,0.955642041705903,0.0935102232864925,0.0068597084680194,0.0050036206873939,-0.0563436857525728
53112,Sweden,SWE,Sweden,SWE,780804.1286,6634462.417,375961.2202,24.2385988,34.82910858,10.44871589,282.8833609,0.002879842,0,1,1,0.0,606.9272363,2170.01470390442,nan,-0.0386780376443401,nan,nan,nan,nan,0.0384615384615385,0.938461538461538,0.0714285714285714,0.945454545454545,nan,nan,nan,nan,nan,nan,1.22256188922458,1.28999895685249,0.227728293587764,0.0271435872976811,-0.002860708906337,-0.0115682817631995,nan,nan,nan,nan,nan,nan,1.15839100877444,0.770485391219457,0.16481266108652,0.0172269561150897,0.0023921228460514,-0.0195349950629142
53113,Sweden,SWE,Sweden,SWE,848700.1398,6634462.417,375392.8752,24.00228412,21.44715676,10.20657221,281.6808662,0.003055377,0,1,0,0.0,126.354409,0.0,nan,nan,nan,nan,nan,nan,0.0416666666666667,0.933333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.984809637069702,1.75742000341415,0.757605243474245,0.00565944320149,0.0012337717925361,0.0247558712049112
53117,Sweden,SWE,Sweden,SWE,1120284.185,6634462.417,376743.7886,24.28238106,9.134930019,9.509536107,281.8597266,0.001725655,0,1,0,0.0,440.021922,0.0,nan,nan,nan,nan,nan,nan,0.0384615384615385,0.930769230769231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.895261818170548,0.641324278712273,0.0146817971486598,0.0068900178432733,-0.0140797553616486,0.0088466665975872
53119,Sweden,SWE,Sweden,SWE,1256076.207,6634462.417,671.2308101,24.79643226,6.146453316,9.437067469,282.2581943,0.001790634,0,1,0,0.0,13.83508566,0.0,nan,nan,nan,nan,nan,nan,0.0434782608695652,0.930434782608696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53472,Sweden,SWE,Sweden,SWE,767047.7009,6732024.338,376394.3558,23.33796183,49.39659282,10.44871589,281.9482104,0.003187066,0,1,1,0.0,68.91196139,1766.17799966203,nan,-0.0260401936083704,nan,nan,nan,nan,0.0454545454545455,0.927272727272727,0.0727272727272727,0.944444444444444,nan,nan,nan,nan,nan,nan,0.907177165150642,1.30171076953411,0.453541487455368,0.0375042031506199,-0.00554426990715,-0.0072068522506261,nan,nan,nan,nan,nan,nan,1.00312948226929,0.54019033908844,0.212357401847839,-0.0016175103808118,-0.0051398613963809,-0.0305315170310647
53477,Sweden,SWE,Sweden,SWE,1100546.701,6732024.338,376390.1369,22.39430577,9.990797313,8.846554647,281.3720067,0.001747018,0,1,0,0.0,987.2567418,0.0,nan,nan,nan,nan,nan,nan,0.0434782608695652,0.921739130434783,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.979915295328413,1.32234258311135,0.0637978145345447,0.0248860415254424,-0.0092783046087437,0.0538145537308378
